Date, Open, High, Low, Close
07/08/85, 191.93, 192.43, 191.31, 191.93
07/05/85, 192.52, 192.65, 191.52, 192.52
07/03/85, 191.45, 191.95, 191.45, 191.45
07/02/85, 192.01, 192.51, 191.89, 192.01
07/01/85, 192.43, 192.43, 191.18, 192.43
06/28/85, 191.85, 191.85, 191.10, 191.85
06/27/85, 191.23, 191.36, 190.11, 191.23
06/26/85, 190.06, 190.19, 189.56, 190.06
06/25/85, 189.74, 190.87, 189.24, 189.74
06/24/85, 189.15, 189.53, 187.90, 189.15
06/21/85, 189.61, 189.61, 186.49, 189.61
06/20/85, 186.73, 186.73, 185.98, 186.73
06/19/85, 186.63, 187.88, 186.63, 186.63
06/18/85, 187.34, 187.59, 186.59, 187.34
06/17/85, 186.53, 187.03, 186.03, 186.53
06/14/85, 187.10, 187.10, 185.35, 187.10
06/13/85, 185.33, 187.58, 185.08, 185.33
06/12/85, 187.61, 188.99, 187.61, 187.61
06/11/85, 189.04, 189.54, 188.79, 189.04
06/10/85, 189.51, 189.64, 188.89, 189.51
06/07/85, 189.68, 191.18, 189.56, 189.68
06/06/85, 191.06, 191.06, 189.19, 191.06
06/05/85, 190.16, 190.91, 190.16, 190.16
06/04/85, 190.04, 190.17, 188.92, 190.04
06/03/85, 189.32, 190.32, 188.94, 189.32
05/31/85, 189.55, 189.55, 187.55, 189.55
05/30/85, 187.75, 188.00, 187.13, 187.75
05/29/85, 187.68, 187.81, 187.18, 187.68
05/28/85, 187.86, 188.86, 187.49, 187.86
05/24/85, 188.29, 188.29, 187.29, 188.29
05/23/85, 187.60, 188.47, 187.47, 187.60
05/22/85, 188.56, 189.56, 187.81, 188.56
05/21/85, 189.64, 189.77, 188.89, 189.64
05/20/85, 189.72, 189.97, 187.47, 189.72
05/17/85, 187.42, 187.92, 185.55, 187.42
05/16/85, 185.66, 185.66, 184.66, 185.66
05/15/85, 184.54, 185.42, 183.92, 184.54
05/14/85, 183.87, 185.12, 183.75, 183.87
05/13/85, 184.61, 184.61, 184.24, 184.61
05/10/85, 184.28, 184.66, 182.03, 184.28
05/09/85, 181.92, 181.92, 180.67, 181.92
05/08/85, 180.62, 180.75, 180.00, 180.62
05/07/85, 180.76, 181.14, 179.89, 180.76
05/06/85, 179.99, 180.49, 179.87, 179.99
05/03/85, 180.08, 180.21, 179.08, 180.08
05/02/85, 179.01, 179.01, 178.39, 179.01
05/01/85, 178.37, 180.58, 178.96, 178.37
04/30/85, 179.83, 180.58, 178.96, 179.83
04/29/85, 180.63, 182.25, 180.63, 180.63
04/26/85, 182.18, 183.56, 182.18, 182.18
04/25/85, 183.43, 183.56, 182.18, 183.43
04/24/85, 182.26, 182.26, 181.76, 182.26
04/23/85, 181.88, 181.88, 180.38, 181.88
04/22/85, 180.70, 181.20, 180.33, 180.70
04/19/85, 181.11, 181.24, 180.49, 181.11
04/18/85, 180.84, 182.47, 180.84, 180.84
04/17/85, 181.68, 181.81, 181.18, 181.68
04/16/85, 181.20, 181.70, 180.20, 181.20
04/15/85, 180.92, 181.05, 180.55, 180.92
04/12/85, 180.54, 180.34, 180.22, 180.54
04/11/85, 180.19, 180.81, 179.44, 180.19
04/10/85, 179.42, 179.80, 178.30, 179.42
04/09/85, 178.21, 178.59, 178.09, 178.21
04/08/85, 178.03, 179.41, 177.91, 178.03
04/04/85, 179.03, 179.03, 178.41, 179.03
04/03/85, 179.11, 180.49, 178.74, 179.11
04/02/85, 180.53, 181.78, 180.28, 180.53
04/01/85, 181.27, 181.27, 180.52, 181.27
03/29/85, 180.66, 180.66, 179.66, 180.66
03/28/85, 179.54, 180.54, 179.54, 179.54
03/27/85, 179.54, 179.79, 178.54, 179.54
03/26/85, 178.43, 178.81, 177.93, 178.43
03/25/85, 177.97, 178.97, 177.97, 177.97
03/22/85, 179.04, 179.92, 178.92, 179.04
03/21/85, 179.35, 180.10, 179.35, 179.35
03/20/85, 179.08, 179.71, 178.83, 179.08
03/19/85, 179.54, 179.54, 176.92, 179.54
03/18/85, 176.88, 177.63, 176.63, 176.88
03/15/85, 176.53, 178.41, 176.53, 176.53
03/14/85, 177.84, 178.47, 177.72, 177.84
03/13/85, 178.19, 179.94, 178.06, 178.19
03/12/85, 179.66, 180.03, 178.78, 179.66
03/11/85, 178.79, 179.42, 178.17, 178.79
03/08/85, 179.10, 179.85, 179.10, 179.10
03/07/85, 179.51, 180.64, 179.51, 179.51
03/06/85, 180.65, 182.15, 180.65, 180.65
03/05/85, 182.23, 182.61, 181.48, 182.23
03/04/85, 182.06, 183.31, 181.44, 182.06
03/01/85, 183.23, 183.86, 181.23, 183.23
02/28/85, 181.18, 181.18, 180.43, 181.18
02/27/85, 180.71, 181.84, 180.59, 180.71
02/26/85, 181.17, 181.55, 179.17, 181.17
02/25/85, 179.23, 179.36, 178.23, 179.23
02/22/85, 179.36, 180.36, 179.24, 179.36
02/21/85, 180.19, 181.06, 180.06, 180.19
02/20/85, 181.18, 182.06, 180.68, 181.18
02/19/85, 181.33, 181.58, 180.96, 181.33
02/15/85, 181.60, 182.60, 181.35, 181.60
02/14/85, 182.41, 183.91, 182.41, 182.41
02/13/85, 183.35, 183.85, 180.60, 183.35
02/12/85, 180.56, 180.69, 179.56, 180.56
02/11/85, 180.51, 182.14, 180.14, 180.51
02/08/85, 182.19, 182.31, 181.69, 182.19
02/07/85, 181.82, 181.94, 180.44, 181.82
02/06/85, 180.43, 181.43, 180.43, 180.43
02/05/85, 180.61, 181.49, 180.11, 180.61
02/04/85, 180.35, 180.35, 177.85, 180.35
02/01/85, 178.63, 179.63, 178.50, 178.63
01/31/85, 179.63, 179.75, 178.63, 179.63
01/30/85, 179.39, 180.27, 179.14, 179.39
01/29/85, 179.18, 179.18, 176.68, 179.18
01/28/85, 177.40, 178.15, 176.65, 177.40
01/25/85, 177.35, 177.72, 176.60, 177.35
01/24/85, 176.71, 178.09, 176.59, 176.71
01/23/85, 177.30, 176.11, 175.24, 177.30
01/22/85, 175.48, 176.61, 175.23, 175.48
01/21/85, 175.23, 175.36, 171.36, 175.23
01/18/85, 171.32, 171.32, 170.69, 171.32
01/17/85, 170.73, 171.23, 170.23, 170.73
01/16/85, 171.19, 171.94, 170.44, 171.19
