Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CHG_PCT_1D,VOLATILITY_30D
4/30/1928,19.75,19.75,19.75,19.75,0.36,15.44
5/1/1928,19.78,19.78,19.78,19.78,0.15,15.24
5/2/1928,19.83,19.83,19.83,19.83,0.25,15.17
5/3/1928,19.93,19.93,19.93,19.93,0.5,15.02
5/4/1928,20.24,20.24,20.24,20.24,1.56,15.11
5/7/1928,20.41,20.41,20.41,20.41,0.84,15.01
5/8/1928,20.27,20.27,20.27,20.27,-0.69,15.21
5/9/1928,20.24,20.24,20.24,20.24,-0.15,15.25
5/10/1928,20.21,20.21,20.21,20.21,-0.15,14.54
5/11/1928,20.36,20.36,20.36,20.36,0.74,13.02
5/14/1928,20.44,20.44,20.44,20.44,0.39,12.98
5/15/1928,20.39,20.39,20.39,20.39,-0.24,13.01
5/16/1928,20.05,20.05,20.05,20.05,-1.67,13.89
5/17/1928,20.12,20.12,20.12,20.12,0.35,13.9
5/18/1928,19.92,19.92,19.92,19.92,-0.99,14.08
5/21/1928,19.63,19.63,19.63,19.63,-1.46,14.56
5/22/1928,19.36,19.36,19.36,19.36,-1.38,14.26
5/23/1928,19.75,19.75,19.75,19.75,2.01,15.46
5/24/1928,19.87,19.87,19.87,19.87,0.61,14.78
5/25/1928,19.9,19.9,19.9,19.9,0.15,14.76
5/28/1928,19.57,19.57,19.57,19.57,-1.66,15.43
5/29/1928,19.82,19.82,19.82,19.82,1.28,15.88
5/30/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16.09
5/31/1928,20,20,20,20,0.91,15.55
6/1/1928,20.07,20.07,20.07,20.07,0.35,15.17
6/4/1928,19.8,19.8,19.8,19.8,-1.35,15.81
6/5/1928,19.85,19.85,19.85,19.85,0.25,15.78
6/6/1928,19.66,19.66,19.66,19.66,-0.96,15.97
6/7/1928,19.61,19.61,19.61,19.61,-0.25,15.65
6/8/1928,19.37,19.37,19.37,19.37,-1.22,16.03
6/11/1928,18.68,18.68,18.68,18.68,-3.56,19.33
6/12/1928,18.34,18.34,18.34,18.34,-1.82,19.89
6/13/1928,18.89,18.89,18.89,18.89,3,22.1
6/14/1928,19.05,19.05,19.05,19.05,0.85,21.67
6/15/1928,18.74,18.74,18.74,18.74,-1.63,21.83
6/18/1928,18.4,18.4,18.4,18.4,-1.81,22.29
6/19/1928,18.34,18.34,18.34,18.34,-0.33,22.28
6/20/1928,18.57,18.57,18.57,18.57,1.25,22.81
6/21/1928,18.56,18.56,18.56,18.56,-0.05,22.58
6/22/1928,18.54,18.54,18.54,18.54,-0.11,22.48
6/25/1928,18.47,18.47,18.47,18.47,-0.38,22.48
6/26/1928,18.68,18.68,18.68,18.68,1.14,22.51
6/27/1928,18.86,18.86,18.86,18.86,0.96,22.75
6/28/1928,19.07,19.07,19.07,19.07,1.11,22.96
6/29/1928,19.14,19.14,19.14,19.14,0.37,22.63
7/2/1928,18.98,18.98,18.98,18.98,-0.84,22.39
7/3/1928,19.29,19.29,19.29,19.29,1.63,22.09
